id,pipeline,license,class,downloads,likes,url
dibaainiyou/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric,image-to-3d,unknown,unknown,2,0,https://huggingface.co/dibaainiyou/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric
Dynamo137/Hunyuan3D-2mini,image-to-3d,other,unknown,2,1,https://huggingface.co/Dynamo137/Hunyuan3D-2mini
Rishishah241/Hunyuan3D-2mv,image-to-3d,other,unknown,2,0,https://huggingface.co/Rishishah241/Hunyuan3D-2mv
Antided/Hunyuan3D-Omni,image-to-3d,other,unknown,2,0,https://huggingface.co/Antided/Hunyuan3D-Omni
Soiken/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/Soiken/Hunyuan3D-2.1
dylanebert/mvdream,text-to-3d,openrail,openrail(restricted),2,7,https://huggingface.co/dylanebert/mvdream
uwantcheats/LLaMA-Mesh,text-to-3d,llama3.1,other,2,1,https://huggingface.co/uwantcheats/LLaMA-Mesh
shankartr123/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/shankartr123/multi-view-diffusion
dlux2015/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/dlux2015/multi-view-diffusion
proplayer69/multiviewdiffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/proplayer69/multiviewdiffusion
Lolotestin/multiview_diff,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Lolotestin/multiview_diff
stephanbrez/multiview-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/stephanbrez/multiview-diffusion
miergo/multi_view_,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/miergo/multi_view_
davedis1997/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/davedis1997/multi-view-diffusion
tanittha/mein-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/tanittha/mein-multi-view-diffusion
Phani0404/nova,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Phani0404/nova
reiirene/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/reiirene/multi-view-diffusion
kebablysis/multi-view-test,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/kebablysis/multi-view-test
cameron-d/multi-view-diffusion-course,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/cameron-d/multi-view-diffusion-course
a-r-orr/multi-view-diffusion-first-test,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/a-r-orr/multi-view-diffusion-first-test
ev1e/3dmodel,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/ev1e/3dmodel
dianonu/diana,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/dianonu/diana
prochitecture/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/prochitecture/multi-view-diffusion
marianaas8/MultiviewDiffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/marianaas8/MultiviewDiffusion
amansingh1528/diffuser,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/amansingh1528/diffuser
Akash887/My-Multi-View-Diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Akash887/My-Multi-View-Diffusion
aadikrish001/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/aadikrish001/my-multi-view-diffusion
IMasI2Cat/hf3dmldiffimas,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/IMasI2Cat/hf3dmldiffimas
Sohom2003/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Sohom2003/my-multi-view-diffusion
DhruvDecoder/model_3d_diffuser,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/DhruvDecoder/model_3d_diffuser
tybi08/ragnar,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/tybi08/ragnar
zimengxiong/Modelr-SF3D,image-to-3d,other,unknown,1,1,https://huggingface.co/zimengxiong/Modelr-SF3D
hackbones/MVDx1,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/hackbones/MVDx1
descentbrine/Sharp-coreml,image-to-3d,apple-amlr,NON-COMMERCIAL,1,0,https://huggingface.co/descentbrine/Sharp-coreml
Jing12321/slam3r_i2p,image-to-3d,unknown,unknown,1,0,https://huggingface.co/Jing12321/slam3r_i2p
vinnnz/hf_3d_course2,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/vinnnz/hf_3d_course2
tt20140604/Hunyuan3D-2.1,image-to-3d,other,unknown,1,0,https://huggingface.co/tt20140604/Hunyuan3D-2.1
Peng-Wang/ImageDream,image-to-3d,openrail,openrail(restricted),0,39,https://huggingface.co/Peng-Wang/ImageDream
FrozenBurning/SceneDreamer,image-to-3d,other,unknown,0,44,https://huggingface.co/FrozenBurning/SceneDreamer
Rompo/Rompov,image-to-3d,unknown,unknown,0,3,https://huggingface.co/Rompo/Rompov
dylanebert/EasyVolcap,image-to-3d,other,unknown,0,5,https://huggingface.co/dylanebert/EasyVolcap
dylanebert/4K4D,image-to-3d,other,unknown,0,7,https://huggingface.co/dylanebert/4K4D
dylanebert/3DFauna,image-to-3d,unknown,unknown,0,3,https://huggingface.co/dylanebert/3DFauna
dylanebert/HarmonyView,image-to-3d,unknown,unknown,0,1,https://huggingface.co/dylanebert/HarmonyView
dylanebert/DSINE,image-to-3d,unknown,unknown,0,6,https://huggingface.co/dylanebert/DSINE
dylanebert/StyleGaussian,image-to-3d,unknown,unknown,0,3,https://huggingface.co/dylanebert/StyleGaussian
dylanebert/mvsplat,image-to-3d,unknown,unknown,0,5,https://huggingface.co/dylanebert/mvsplat
Bianribian/Gian,image-to-3d,artistic-2.0,other,0,0,https://huggingface.co/Bianribian/Gian
paulengstler/invisible-stitch,image-to-3d,unknown,unknown,0,3,https://huggingface.co/paulengstler/invisible-stitch
m27m27/courseMVSDifuusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/m27m27/courseMVSDifuusion
KenanKhan/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/KenanKhan/my-multi-view-diffusion
mromerocastro/3d2xr,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/mromerocastro/3d2xr
chadlinden/stablediffusion1,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/chadlinden/stablediffusion1
Ryukijano/Multiview_diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Ryukijano/Multiview_diffusion
amiltonwong/mvd,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/amiltonwong/mvd
myszopanda/blenda,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/myszopanda/blenda
facebook/VGGSfM,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,8,https://huggingface.co/facebook/VGGSfM
ssontag/CM-A_Tests,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/ssontag/CM-A_Tests
rakkateichou/multi-view-diffusion-course,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/rakkateichou/multi-view-diffusion-course
Froggypan/ML3Dtutorial,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Froggypan/ML3Dtutorial
2gnak/multi-view-diffusion-demo,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/2gnak/multi-view-diffusion-demo
Xeracle/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Xeracle/my-multi-view-diffusion
twnatelo/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/twnatelo/multi-view-diffusion
fgkhvgkv/model1,image-to-3d,unknown,unknown,0,0,https://huggingface.co/fgkhvgkv/model1
vitamin-c-sharp/multiview-diffusion-generator,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/vitamin-c-sharp/multiview-diffusion-generator
Magical1/multi-view-diffusion_test,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Magical1/multi-view-diffusion_test
ADSKAILab/Make-A-Shape-single-view-20m,image-to-3d,other,unknown,0,4,https://huggingface.co/ADSKAILab/Make-A-Shape-single-view-20m
zzzinuzzz/nackedei,image-to-3d,cc,other,0,0,https://huggingface.co/zzzinuzzz/nackedei
shrutin97/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/shrutin97/multi-view-diffusion
FermiQ/multiViewdiff,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/FermiQ/multiViewdiff
ADSKAILab/Make-A-Shape-multi-view-20m,image-to-3d,other,unknown,0,6,https://huggingface.co/ADSKAILab/Make-A-Shape-multi-view-20m
jkorstad/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/jkorstad/multi-view-diffusion
jayc0207/js_multi_view_diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/jayc0207/js_multi_view_diffusion
a4mula/multiview-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/a4mula/multiview-diffusion
ADSKAILab/WaLa-SV-1B,image-to-3d,other,unknown,0,5,https://huggingface.co/ADSKAILab/WaLa-SV-1B
ADSKAILab/WaLa-RGB4-1B,image-to-3d,other,unknown,0,1,https://huggingface.co/ADSKAILab/WaLa-RGB4-1B
ADSKAILab/WaLa-DM4-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-DM4-1B
ADSKAILab/WaLa-DM6-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-DM6-1B
ADSKAILab/WaLa-SK-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-SK-1B
ZoraBesho/Zora,image-to-3d,llama3.2,other,0,0,https://huggingface.co/ZoraBesho/Zora
dorukbenli/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/dorukbenli/multi-view-diffusion
DahVip/romulus,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/DahVip/romulus
jurmy24/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/jurmy24/multi-view-diffusion
ADSKAILab/WaLa-DM1-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-DM1-1B
Gynjn/SelfSplat,image-to-3d,unknown,unknown,0,1,https://huggingface.co/Gynjn/SelfSplat
kavathiya/multi-view-diff,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/kavathiya/multi-view-diff
YJET/1,image-to-3d,unknown,unknown,0,0,https://huggingface.co/YJET/1
Zhenggang/MV-DUSt3R,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,9,https://huggingface.co/Zhenggang/MV-DUSt3R
zakariyamansuri1/LGM_Full,image-to-3d,unknown,unknown,0,0,https://huggingface.co/zakariyamansuri1/LGM_Full
mertkb/palmtree,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/mertkb/palmtree
TeslaYang123/CityGaussianV2,image-to-3d,cc-by-nc-sa-4.0,NON-COMMERCIAL,0,4,https://huggingface.co/TeslaYang123/CityGaussianV2
jingwei-xu-00/pretrained_backup_for_streetunveiler,image-to-3d,unknown,unknown,0,1,https://huggingface.co/jingwei-xu-00/pretrained_backup_for_streetunveiler
convertor/s0123,image-to-3d,other,unknown,0,3,https://huggingface.co/convertor/s0123
marianafdz97/3D_GANG,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/marianafdz97/3D_GANG
hyz317/PrimitiveAnything,image-to-3d,gpl-3.0,other,0,6,https://huggingface.co/hyz317/PrimitiveAnything
Manojb/ImageDream,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Manojb/ImageDream
gqk/Hunyuan3D-2.1-fork,image-to-3d,other,unknown,0,0,https://huggingface.co/gqk/Hunyuan3D-2.1-fork
AmirHossein-razlighi/confident-splatting,image-to-3d,cc-by-sa-4.0,other,0,0,https://huggingface.co/AmirHossein-razlighi/confident-splatting
akretz/VGGT-1B-onnx,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,4,https://huggingface.co/akretz/VGGT-1B-onnx
facebook/oss_gate_test,image-to-3d,other,unknown,0,1,https://huggingface.co/facebook/oss_gate_test
lalala125/DiscreteSDF,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,2,https://huggingface.co/lalala125/DiscreteSDF
snap-research/gtr,image-to-3d,other,unknown,0,2,https://huggingface.co/snap-research/gtr
lalala125/GSROR,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,2,https://huggingface.co/lalala125/GSROR
HKUST-SAIL/SAIL-Recon,image-to-3d,unknown,unknown,0,9,https://huggingface.co/HKUST-SAIL/SAIL-Recon
faneggg/human3r,image-to-3d,cc-by-nc-sa-4.0,NON-COMMERCIAL,0,7,https://huggingface.co/faneggg/human3r
Co2y/UP2You,image-to-3d,cc-by-nc-nd-4.0,NON-COMMERCIAL,0,7,https://huggingface.co/Co2y/UP2You
aakashsonkar/multi_view_diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/aakashsonkar/multi_view_diffusion
peabody124/Sam3dBodyEqx,image-to-3d,other,unknown,0,0,https://huggingface.co/peabody124/Sam3dBodyEqx
pearsonkyle/Sharp-onnx,image-to-3d,apple-amlr,NON-COMMERCIAL,0,3,https://huggingface.co/pearsonkyle/Sharp-onnx
qian43/Sat2Densitypp,image-to-3d,unknown,unknown,0,1,https://huggingface.co/qian43/Sat2Densitypp
Deucalion2003/3DGenerator,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Deucalion2003/3DGenerator
TencentARC/MotionCrafter,image-to-3d,other,unknown,0,13,https://huggingface.co/TencentARC/MotionCrafter
PAct000/PAct,image-to-3d,cc-by-nc-sa-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/PAct000/PAct
MLAdaptiveIntelligence/FMPose3D,image-to-3d,unknown,unknown,0,4,https://huggingface.co/MLAdaptiveIntelligence/FMPose3D
Arendmetnb/HunyuanWorld-1,image-to-3d,other,unknown,0,0,https://huggingface.co/Arendmetnb/HunyuanWorld-1
buildoak/sharp-onnx,image-to-3d,other,unknown,0,0,https://huggingface.co/buildoak/sharp-onnx
Junyi42/LoGeR,image-to-3d,unknown,unknown,0,9,https://huggingface.co/Junyi42/LoGeR
jaumebalust/VGGSfM,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/jaumebalust/VGGSfM
AEmotionStudio/sharp,image-to-3d,other,unknown,0,0,https://huggingface.co/AEmotionStudio/sharp
INSAIT-Institute/COM4D,image-to-3d,unknown,unknown,0,1,https://huggingface.co/INSAIT-Institute/COM4D
MLAdaptiveIntelligence/PRIMA,image-to-3d,unknown,unknown,0,0,https://huggingface.co/MLAdaptiveIntelligence/PRIMA
xbillowy/Scal3R,image-to-3d,unknown,unknown,0,1,https://huggingface.co/xbillowy/Scal3R
oxide-lab/Pi3X,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/oxide-lab/Pi3X
PeterDAI/Free-Geometry,image-to-3d,unknown,unknown,0,2,https://huggingface.co/PeterDAI/Free-Geometry
Cosmicvibez/HY-World-2.0,image-to-3d,other,unknown,0,1,https://huggingface.co/Cosmicvibez/HY-World-2.0
needle-tools/Sharp-webgpu,image-to-3d,apple-amlr,NON-COMMERCIAL,0,0,https://huggingface.co/needle-tools/Sharp-webgpu
mcErykO/HY-World-2.0,image-to-3d,other,unknown,0,0,https://huggingface.co/mcErykO/HY-World-2.0
ZipW/FlashVGGT,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/ZipW/FlashVGGT
MalikAhmedFF/Malia,image-to-3d,cc,other,0,0,https://huggingface.co/MalikAhmedFF/Malia
EllaPriest45/Pixal3D,image-to-3d,other,unknown,0,0,https://huggingface.co/EllaPriest45/Pixal3D
Andrettiaaa/Pixal3D,image-to-3d,other,unknown,0,0,https://huggingface.co/Andrettiaaa/Pixal3D
facebook/Large-Sparse-Reconstruction-Model,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,4,https://huggingface.co/facebook/Large-Sparse-Reconstruction-Model
appautomaton/sam-3d-objects-mlx,image-to-3d,other,unknown,0,0,https://huggingface.co/appautomaton/sam-3d-objects-mlx
appautomaton/lito-research-mlx,image-to-3d,other,unknown,0,0,https://huggingface.co/appautomaton/lito-research-mlx
haoz19/object-model-6layer,image-to-3d,cc-by-nc-nd-4.0,NON-COMMERCIAL,0,13,https://huggingface.co/haoz19/object-model-6layer
haoz19/dynamic-model-16frame,image-to-3d,cc-by-nc-nd-4.0,NON-COMMERCIAL,0,4,https://huggingface.co/haoz19/dynamic-model-16frame
quan5609/EcoSplat,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/quan5609/EcoSplat
Pedro-Quesado/LiveStre4m,image-to-3d,cc-by-nc-sa-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/Pedro-Quesado/LiveStre4m
veichta/zipsplat,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,0,https://huggingface.co/veichta/zipsplat
TencentARC/Sculpt4D,image-to-3d,other,unknown,0,7,https://huggingface.co/TencentARC/Sculpt4D
brodatech/Sharp-onnx,image-to-3d,apple-amlr,NON-COMMERCIAL,0,1,https://huggingface.co/brodatech/Sharp-onnx
haoz19/scene-model-6layer-840,image-to-3d,cc-by-nc-nd-4.0,NON-COMMERCIAL,0,8,https://huggingface.co/haoz19/scene-model-6layer-840
ZackaryJing/dm-cad,image-to-3d,other,unknown,0,0,https://huggingface.co/ZackaryJing/dm-cad
richardchencccc/FreeStreamGS,image-to-3d,other,unknown,0,0,https://huggingface.co/richardchencccc/FreeStreamGS
Knowing/F4Splat,image-to-3d,unknown,unknown,0,0,https://huggingface.co/Knowing/F4Splat
xocialize/trellis2-mlx,image-to-3d,other,unknown,0,0,https://huggingface.co/xocialize/trellis2-mlx
Roni-It/globalsplat,image-to-3d,other,unknown,0,0,https://huggingface.co/Roni-It/globalsplat
RealseeTechnology/argus-realsee3d,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,1,https://huggingface.co/RealseeTechnology/argus-realsee3d
Maikou/Michelangelo,text-to-3d,lgpl-3.0,other,0,25,https://huggingface.co/Maikou/Michelangelo
ironjr/LucidDreamer,text-to-3d,unknown,unknown,0,4,https://huggingface.co/ironjr/LucidDreamer
stabilityai/stable-zero123,text-to-3d,other,unknown,0,771,https://huggingface.co/stabilityai/stable-zero123
model-hub/stable-zero123,text-to-3d,other,unknown,0,6,https://huggingface.co/model-hub/stable-zero123
hzxie/city-dreamer,text-to-3d,other,unknown,0,9,https://huggingface.co/hzxie/city-dreamer
yslan/LN3Diff,text-to-3d,unknown,unknown,0,8,https://huggingface.co/yslan/LN3Diff
wyysf/CraftsMan,text-to-3d,other,unknown,0,14,https://huggingface.co/wyysf/CraftsMan
antitheft159/WealthAnchor,text-to-3d,gpl,other,0,0,https://huggingface.co/antitheft159/WealthAnchor
dylanebert/PanoHead,text-to-3d,unknown,unknown,0,0,https://huggingface.co/dylanebert/PanoHead
dylanebert/iComMa,text-to-3d,unknown,unknown,0,0,https://huggingface.co/dylanebert/iComMa
KevinHuang/DreamWaltz-G,text-to-3d,unknown,unknown,0,4,https://huggingface.co/KevinHuang/DreamWaltz-G
luisgamerplay/bioluminescent_mushroom,text-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/luisgamerplay/bioluminescent_mushroom
hzxie/gaussian-city,text-to-3d,other,unknown,0,4,https://huggingface.co/hzxie/gaussian-city
Hermit000-1/ai-tech,text-to-3d,unknown,unknown,0,0,https://huggingface.co/Hermit000-1/ai-tech
Zanflip/ZanGen,text-to-3d,unknown,unknown,0,1,https://huggingface.co/Zanflip/ZanGen
KangLiao/Puffin,text-to-3d,other,unknown,0,24,https://huggingface.co/KangLiao/Puffin
NicolasG2523/hunyuan3d-dit-v2-0-endpoint,text-to-3d,unknown,unknown,0,0,https://huggingface.co/NicolasG2523/hunyuan3d-dit-v2-0-endpoint
Aabdulhadi/Medo,text-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Aabdulhadi/Medo
Jiakui/MV-AR,text-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,1,https://huggingface.co/Jiakui/MV-AR
faufhesuef/cartoon,text-to-3d,unknown,unknown,0,0,https://huggingface.co/faufhesuef/cartoon
micahread/stable-zero123,text-to-3d,other,unknown,0,0,https://huggingface.co/micahread/stable-zero123
orgaddas/Ezren,text-to-3d,unknown,unknown,0,0,https://huggingface.co/orgaddas/Ezren
Abhikie18/stable-zero123,text-to-3d,other,unknown,0,0,https://huggingface.co/Abhikie18/stable-zero123
itriedcoding/Forge3D,text-to-3d,other,unknown,0,0,https://huggingface.co/itriedcoding/Forge3D
UNLOCKLAND/MAJLIS,text-to-3d,other,unknown,0,1,https://huggingface.co/UNLOCKLAND/MAJLIS
StabilityLabs/arbor,text-to-3d,other,unknown,0,23,https://huggingface.co/StabilityLabs/arbor
Roblox/cubepart,text-to-3d,openrail,openrail(restricted),0,18,https://huggingface.co/Roblox/cubepart
Bharat-27G/stable-zero123,text-to-3d,other,unknown,0,0,https://huggingface.co/Bharat-27G/stable-zero123
leyliakhairani/stable-zero123,text-to-3d,other,unknown,0,0,https://huggingface.co/leyliakhairani/stable-zero123
